,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.4,0.03893180486,48.04753918,1.518081637,0.001834364667,23.34840197,0.01846701225,66.72401345,341708.1805,-9.516663527,19.61471682,-0.006525706089,0.0006510403044
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.424999999999997,0.03891733005,48.06415571,1.518714299,0.001834541381,23.34727742,0.01846320194,66.70193223,341551.5626,-9.514428669,19.4170937,-0.006523929093,0.0006507388858
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.449999999999996,0.03890284435,48.08078917,1.519347242,0.001834718114,23.34615291,0.01845939618,66.67983275,341394.6836,-9.512192232,19.20960911,-0.006522148929,0.0006504373498
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.474999999999994,0.03888841707,48.09739485,1.519979897,0.001834894833,23.34502864,0.01845559246,66.65783466,341238.8155,-9.509961381,18.97893405,-0.006520378598,0.0006501369057
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.52499999999999,0.03885844705,48.13135581,1.521254859,0.00183524881,23.34277718,0.01844803766,66.61190388,340906.3303,-9.50538297,18.8244004,-0.006516625023,0.0006495167888
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.54999999999999,0.03884378399,48.14814331,1.52188996,0.001835425653,23.34165261,0.01844425484,66.58949377,340745.8902,-9.503126391,18.49417839,-0.006514806889,0.0006492124603
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.57499999999999,0.03882890944,48.16507737,1.522526952,0.001835602591,23.34052761,0.01844048361,66.56671397,340581.4628,-9.500847476,18.23324269,-0.006512947825,0.0006489045224
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.599999999999987,0.03881386813,48.1821292,1.523165459,0.001835779597,23.33940233,0.01843672225,66.54364025,340413.8563,-9.498550841,17.96926692,-0.006511056189,0.0006485937575
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.624999999999986,0.03879863975,48.19931207,1.523805634,0.001835956673,23.33827678,0.01843297133,66.52023519,340242.6785,-9.496234368,17.68439682,-0.00650912812,0.0006482798147
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.649999999999984,0.03878318421,48.2166521,1.524447792,0.001836133827,23.33715089,0.01842923204,66.49642636,340067.1669,-9.493893882,17.35910175,-0.006507156029,0.0006479619987
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.674999999999983,0.03876744475,48.23418629,1.525092381,0.001836311073,23.33602458,0.01842550606,66.4721113,339886.2436,-9.491523471,16.95693582,-0.006505129184,0.0006476393251
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.69999999999998,0.03875134398,48.25196511,1.525740012,0.00183648843,23.33489772,0.01842179564,66.44715017,339698.4382,-9.489115064,16.38227422,-0.00650303295,0.0006473104513
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.72499999999998,0.03873477556,48.27005797,1.526391527,0.001836665925,23.33377016,0.01841810379,66.42135053,339501.7288,-9.486657561,15.23873586,-0.006500847221,0.0006469735325
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.74999999999998,0.03871759022,48.2885624,1.527048112,0.001836843595,23.33264164,0.01841443465,66.39444175,339293.2743,-9.484135365,6.013507732,-0.006498543774,0.0006466259792
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.774999999999977,0.03869957221,48.30761949,1.527711482,0.001837021495,23.33151183,0.01841079398,66.36603166,339068.9622,-9.481525901,20.34537587,-0.006496081818,0.0006462640486
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,1,0.005,26.7495,26.799999999999976,0.0386803979,48.32744106,1.528384216,0.001837199707,23.3303802,0.01840719014,66.33553051,338822.6156,-9.478795257,17.98902683,-0.006493400171,0.0006458821267
